,timestamp,x,y,z,time
394,599620914029,-86,125,-1029,1988
395,599620914034,-84,125,-1020,1993
396,599620914040,-86,125,-1021,1999
397,599620914045,-86,119,-1018,2004
398,599620914050,-87,127,-1021,2009
399,599620914055,-85,122,-1019,2014
400,599620914060,-83,122,-1019,2019
401,599620914065,-86,125,-1023,2024
402,599620914070,-84,122,-1026,2029
403,599620914075,-84,125,-1022,2034
404,599620914080,-85,119,-1025,2039
405,599620914085,-83,123,-1019,2044
406,599620914090,-83,125,-1023,2049
407,599620914095,-83,126,-1021,2054
408,599620914100,-84,118,-1021,2059
409,599620914105,-84,126,-1022,2064
410,599620914110,-84,119,-1023,2069
411,599620914115,-85,124,-1022,2074
412,599620914120,-83,125,-1024,2079
413,599620914125,-78,122,-1023,2084
414,599620914130,-85,120,-1014,2089
415,599620914135,-83,122,-1023,2094
416,599620914140,-81,123,-1024,2099
417,599620914145,-86,125,-1023,2104
418,599620914150,-80,121,-1024,2109
419,599620914155,-84,123,-1027,2114
420,599620914160,-82,119,-1027,2119
421,599620914165,-82,119,-1030,2124
422,599620914170,-84,120,-1023,2129
423,599620914175,-77,116,-1021,2134
424,599620914180,-83,114,-1015,2139
425,599620914185,-78,121,-1020,2144
426,599620914190,-82,121,-1030,2149
427,599620914195,-84,122,-1031,2154
428,599620914200,-84,123,-1024,2159
429,599620914205,-80,121,-1023,2164
430,599620914210,-77,124,-1022,2169
431,599620914215,-81,123,-1021,2174
432,599620914222,-81,123,-1011,2181
433,599620914227,-79,119,-1019,2186
434,599620914232,-80,122,-1021,2191
435,599620914237,-85,125,-1022,2196
436,599620914242,-83,120,-1024,2201
437,599620914247,-79,120,-1025,2206
438,599620914252,-86,127,-1022,2211
439,599620914257,-89,124,-1022,2216
440,599620914262,-83,120,-1023,2221
441,599620914267,-83,125,-1018,2226
442,599620914272,-84,123,-1017,2231
443,599620914277,-86,124,-1016,2236
444,599620914282,-84,123,-1017,2241
445,599620914287,-86,126,-1020,2246
446,599620914292,-84,124,-1021,2251
447,599620914297,-83,126,-1022,2256
448,599620914302,-85,128,-1024,2261
449,599620914307,-80,125,-1020,2266
450,599620914312,-84,122,-1027,2271
451,599620914317,-82,119,-1029,2276
452,599620914322,-86,121,-1021,2281
453,599620914327,-85,122,-1025,2286
454,599620914332,-84,123,-1020,2291
455,599620914337,-83,125,-1022,2296
456,599620914342,-87,125,-1028,2301
457,599620914347,-84,124,-1025,2306
458,599620914352,-79,122,-1020,2311
459,599620914357,-84,126,-1025,2316
460,599620914362,-85,124,-1024,2321
461,599620914367,-83,125,-1021,2326
462,599620914372,-81,123,-1024,2331
463,599620914377,-84,121,-1027,2336
464,599620914382,-84,123,-1019,2341
465,599620914387,-84,122,-1021,2346
466,599620914392,-88,122,-1024,2351
467,599620914397,-82,122,-1018,2356
468,599620914404,-82,118,-1018,2363
469,599620914409,-83,122,-1021,2368
470,599620914414,-81,122,-1018,2373
471,599620914419,-84,123,-1024,2378
472,599620914424,-83,119,-1019,2383
473,599620914429,-83,119,-1019,2388
474,599620914434,-82,121,-1022,2393
475,599620914439,-83,123,-1021,2398
476,599620914444,-84,120,-1020,2403
477,599620914449,-82,119,-1020,2408
478,599620914454,-85,121,-1016,2413
479,599620914459,-82,121,-1020,2418
480,599620914464,-85,123,-1028,2423
481,599620914469,-85,125,-1026,2428
482,599620914474,-83,124,-1029,2433
483,599620914479,-82,127,-1019,2438
484,599620914484,-85,118,-1016,2443
485,599620914489,-84,118,-1013,2448
486,599620914494,-85,118,-1021,2453
487,599620914499,-81,116,-1017,2458
488,599620914504,-84,121,-1026,2463
489,599620914509,-83,121,-1021,2468
490,599620914514,-81,121,-1022,2473
491,599620914519,-85,122,-1027,2478
492,599620914524,-87,120,-1023,2483
493,599620914529,-83,124,-1031,2488
494,599620914534,-84,121,-1027,2493
495,599620914539,-82,119,-1027,2498
496,599620914544,-82,125,-1026,2503
497,599620914549,-83,122,-1028,2508
498,599620914554,-82,122,-1022,2513
499,599620914559,-82,119,-1024,2518
500,599620914564,-82,120,-1022,2523
501,599620914569,-86,120,-1022,2528
502,599620914574,-84,121,-1023,2533
503,599620914579,-81,120,-1018,2538
504,599620914585,-84,121,-1019,2544
505,599620914590,-83,120,-1024,2549
506,599620914595,-82,123,-1020,2554
507,599620914600,-84,124,-1020,2559
508,599620914605,-83,123,-1025,2564
509,599620914610,-85,123,-1021,2569
510,599620914615,-82,125,-1029,2574
511,599620914620,-81,125,-1026,2579
512,599620914625,-84,114,-1021,2584
513,599620914630,-82,122,-1020,2589
514,599620914635,-85,121,-1014,2594
515,599620914640,-84,120,-1019,2599
516,599620914645,-83,125,-1021,2604
517,599620914650,-85,120,-1022,2609
518,599620914655,-83,124,-1021,2614
519,599620914660,-85,126,-1023,2619
520,599620914665,-85,123,-1020,2624
521,599620914670,-85,124,-1027,2629
522,599620914675,-86,125,-1023,2634
523,599620914680,-81,125,-1019,2639
524,599620914685,-82,124,-1022,2644
525,599620914690,-88,124,-1026,2649
526,599620914695,-84,125,-1023,2654
527,599620914700,-79,127,-1026,2659
528,599620914705,-87,125,-1021,2664
529,599620914710,-83,126,-1021,2669
530,599620914715,-84,123,-1029,2674
531,599620914720,-82,124,-1025,2679
532,599620914725,-86,123,-1026,2684
533,599620914730,-85,125,-1023,2689
534,599620914735,-88,126,-1022,2694
535,599620914740,-79,123,-1024,2699
536,599620914745,-86,125,-1022,2704
537,599620914750,-85,125,-1021,2709
538,599620914755,-81,124,-1024,2714
539,599620914760,-84,122,-1023,2719
540,599620914767,-86,122,-1019,2726
541,599620914772,-84,121,-1022,2731
542,599620914777,-81,124,-1024,2736
543,599620914782,-80,125,-1026,2741
544,599620914787,-84,125,-1027,2746
545,599620914792,-83,123,-1026,2751
546,599620914797,-83,119,-1020,2756
547,599620914802,-83,121,-1020,2761
548,599620914807,-82,115,-1020,2766
